Date,Open,High,Low,Close,Adj Close,Volume
2021-10-23,52125.031250,53026.136719,51379.496094,52734.601563,52734.601563,23091004859
2021-10-24,52712.890625,52830.964844,51231.187500,52347.996094,52347.996094,23468371588
2021-10-25,52316.289063,54906.253906,52119.687500,54303.453125,54303.453125,26759780838
2021-10-26,54297.367188,54507.089844,51741.355469,52053.449219,52053.449219,30077143516
2021-10-27,52043.277344,52939.003906,50162.480469,50421.937500,50421.937500,37639952956
2021-10-28,50411.882813,53186.023438,49810.277344,51892.304688,51892.304688,38739882231
2021-10-29,51894.648438,54531.996094,51632.074219,53825.324219,53825.324219,31880097022
2021-10-30,53835.179688,53913.707031,52692.574219,53531.980469,53531.980469,27815652165
2021-10-31,53498.816406,53979.464844,51994.210938,53060.582031,53060.582031,27898987362
2021-11-01,53061.871094,53961.042969,51686.597656,52591.960938,52591.960938,31165444999
2021-11-02,52556.480469,55465.687500,52312.246094,54603.773438,54603.773438,32598888626
2021-11-03,54627.898438,54845.921875,52820.171875,54214.628906,54214.628906,31101912716
2021-11-04,54190.312500,54351.234375,52647.949219,53180.636719,53180.636719,28225688676
2021-11-05,53187.429688,54139.523438,52592.558594,52915.761719,52915.761719,26494469926
2021-11-06,52866.589844,53318.316406,52083.062500,53263.601563,53263.601563,25187135416
2021-11-07,53287.355469,54741.937500,53181.367188,54741.937500,54741.937500,21374622401
2021-11-08,54756.703125,58408.390625,54756.703125,58305.039063,58305.039063,35488274443
2021-11-09,58290.289063,59153.058594,57269.132813,57763.738281,57763.738281,36534106723
2021-11-10,57747.789063,59496.148438,55065.328125,56588.421875,56588.421875,42427739382
2021-11-11,56574.195313,57220.968750,55921.488281,56736.261719,56736.261719,31343096595
2021-11-12,56661.152344,57222.570313,54445.742188,56061.515625,56061.515625,31532134995
2021-11-13,56063.421875,56725.394531,55316.828125,56335.539063,56335.539063,26629356281
2021-11-14,56323.167969,57244.425781,55581.085938,57219.656250,57219.656250,21957336627
2021-11-15,57267.246094,57891.781250,55891.988281,55914.402344,55914.402344,26883766644
2021-11-16,56058.085938,56058.085938,51952.140625,53146.445313,53146.445313,41382286062
2021-11-17,53127.339844,53709.925781,51727.152344,53339.003906,53339.003906,34616617571
2021-11-18,53332.042969,53811.976563,49726.468750,50086.531250,50086.531250,36405348273
2021-11-19,50046.062500,51562.835938,49053.816406,51492.027344,51492.027344,34289056107
2021-11-20,51488.042969,53033.878906,50916.281250,52889.746094,52889.746094,27132088068
2021-11-21,52919.257813,53161.941406,51934.437500,52087.062500,52087.062500,23168441582
2021-11-22,52066.105469,52559.125000,49562.796875,50071.628906,50071.628906,31166066807
2021-11-23,50085.210938,51445.257813,49416.910156,51188.464844,51188.464844,33331102310
2021-11-24,51185.597656,51405.656250,49940.398438,50235.796875,50235.796875,32700833644
2021-11-25,51025.738281,52950.410156,51002.730469,51096.460938,51096.460938,30585799415
2021-11-26,52600.238281,52793.203125,47323.101563,47323.101563,47323.101563,36935280493
2021-11-27,47470.332031,48877.425781,47410.195313,48423.203125,48423.203125,26997217218
2021-11-28,48421.386719,50827.242188,47329.261719,50696.085938,50696.085938,24898768129
2021-11-29,50734.558594,52219.007813,50321.472656,51189.449219,51189.449219,28665350260
2021-11-30,51210.300781,51991.242188,49508.781250,50313.386719,50313.386719,32399262570
2021-12-01,50227.371094,52107.593750,49983.929688,50560.609375,50560.609375,32562962375
2021-12-02,50549.601563,50583.859375,49311.750000,49953.894531,49953.894531,28639661363
2021-12-03,49981.621094,50839.183594,46423.781250,47371.308594,47371.308594,35166512180
2021-12-04,47485.878906,47642.140625,37893.531250,43486.582031,43486.582031,54256406273
2021-12-05,43487.304688,43988.125000,42299.375000,43672.867188,43672.867188,32906421504
2021-12-06,43712.347656,45136.082031,41835.867188,44827.585938,44827.585938,33417159033
2021-12-07,44826.882813,46178.332031,44523.503906,44974.980469,44974.980469,29873995242
2021-12-08,44946.207031,45188.109375,43256.894531,44519.976563,44519.976563,25104855062
2021-12-09,44471.746094,44787.503906,41934.921875,42211.375000,42211.375000,26212546684
2021-12-10,42184.832031,44288.554688,41545.859375,41739.886719,41739.886719,27358744220
2021-12-11,41758.730469,43702.562500,41473.988281,43617.996094,43617.996094,22776228252
2021-12-12,43611.234375,44821.808594,43055.429688,44292.691406,44292.691406,19396796672
2021-12-13,44307.195313,44382.273438,40644.062500,41421.281250,41421.281250,28507891159
2021-12-14,41396.765625,43013.816406,41143.710938,41405.488281,41405.488281,30769104303
2021-12-15,42975.203125,43813.046875,41480.968750,43307.628906,43307.628906,32364951353
2021-12-16,43310.945313,43746.671875,41949.871094,42055.492188,42055.492188,24058853189
2021-12-17,42045.171875,42383.761719,40375.589844,41104.570313,41104.570313,29272501838
2021-12-18,41119.792969,42094.167969,40567.476563,41680.417969,41680.417969,23219129040
2021-12-19,41684.949219,42784.414063,41372.750000,41542.992188,41542.992188,22372971358
2021-12-20,41543.039063,42023.425781,40365.480469,41569.914063,41569.914063,27454692665
2021-12-21,41575.058594,43688.652344,41408.410156,43354.804688,43354.804688,23969764820
2021-12-22,43355.234375,43932.410156,42874.914063,42933.625000,42933.625000,21584876672
2021-12-23,42931.710938,45285.339844,42421.753906,44849.703125,44849.703125,24925551041
2021-12-24,44868.703125,45774.117188,44604.046875,44886.011719,44886.011719,21521666976
2021-12-25,44914.910156,45199.019531,44368.910156,44539.500000,44539.500000,16807813795
2021-12-26,44538.468750,45242.851563,43757.652344,44871.050781,44871.050781,18514119911
2021-12-27,44864.953125,45876.656250,44609.058594,44697.410156,44697.410156,21469713513
2021-12-28,44732.222656,44732.222656,41924.261719,42064.882813,42064.882813,29549879026
2021-12-29,42095.835938,42554.261719,40696.171875,40885.140625,40885.140625,26452243764
2021-12-30,40925.542969,42321.101563,40583.375000,41666.917969,41666.917969,23569055197
2021-12-31,41659.187500,42793.972656,40254.160156,40712.718750,40712.718750,32507766322
2022-01-01,40717.378906,42049.867188,40696.929688,41926.339844,41926.339844,21613129995
2022-01-02,41921.167969,42097.429688,41196.710938,41629.800781,41629.800781,24577311974
2022-01-03,41628.324219,41849.964844,40575.277344,41105.722656,41105.722656,29261479130
2022-01-04,41106.375000,41956.500000,40554.570313,40677.875000,40677.875000,37661970660
2022-01-05,40679.453125,41486.542969,37839.750000,38520.269531,38520.269531,32580817996
2022-01-06,38517.183594,38691.019531,37721.003906,38203.507813,38203.507813,26738382071
2022-01-07,38196.996094,38196.996094,36222.503906,36575.898438,36575.898438,74103034014
2022-01-08,36579.035156,37170.082031,35799.898438,36734.382813,36734.382813,24704118680
2022-01-09,36735.074219,37580.796875,36386.011719,36914.773438,36914.773438,18755603984
2022-01-10,36913.566406,37231.550781,35228.761719,36912.199219,36912.199219,28335773331
2022-01-11,36910.648438,37828.117188,36550.128906,37599.601563,37599.601563,23163434090
2022-01-12,37605.167969,38559.484375,37401.820313,38415.820313,38415.820313,29282229408
2022-01-13,38413.757813,38574.167969,37053.214844,37175.289063,37175.289063,41626348816
2022-01-14,37181.660156,37969.273438,36655.234375,37756.070313,37756.070313,20654206193
2022-01-15,37757.996094,38303.558594,37378.800781,37824.132813,37824.132813,16093613422
2022-01-16,37819.441406,38051.382813,37398.062500,37800.527344,37800.527344,15695843306
2022-01-17,37804.242188,37857.531250,36531.257813,37028.761719,37028.761719,19010103713
2022-01-18,37028.343750,37549.371094,36422.046875,37403.785156,37403.785156,19787042903
2022-01-19,37402.378906,37446.664063,36389.531250,36800.882813,36800.882813,20356996522
2022-01-20,36800.617188,38251.648438,35950.992188,35957.707031,35957.707031,18015822473
2022-01-21,35974.667969,36321.812500,31548.890625,32135.849609,32135.849609,37913565556
2022-01-22,32148.429688,32339.902344,30277.660156,30877.941406,30877.941406,35006840731
2022-01-23,30893.021484,32121.720703,30654.947266,31986.818359,31986.818359,22941168169
2022-01-24,31985.873047,32899.058594,29323.492188,32369.328125,32369.328125,36963489637
2022-01-25,32369.750000,33179.371094,31627.011719,32693.353516,32693.353516,23381125046
2022-01-26,32690.267578,34411.113281,32362.683594,32783.683594,32783.683594,27866393735
2022-01-27,32774.574219,33333.339844,31971.115234,33324.285156,33324.285156,22469772280
2022-01-28,33315.500000,34046.199219,32534.775391,33889.109375,33889.109375,19946207246
2022-01-29,33885.863281,34599.398438,33550.203125,34206.476563,34206.476563,15421617548
2022-01-30,34218.800781,34334.972656,33595.703125,33999.804688,33999.804688,13130518444
2022-01-31,34002.207031,34406.035156,32919.343750,34270.417969,34270.417969,18464920256
2022-02-01,34269.203125,34795.570313,33847.980469,34367.761719,34367.761719,17997198255
2022-02-02,34368.152344,34456.867188,32579.468750,32702.763672,32702.763672,16952016995
2022-02-03,32695.525391,32490.472656,32245.677734,32490.472656,32490.472656,16257683635
2022-02-04,32485.804688,36271.488281,32399.468750,36247.984375,36247.984375,25689419035
2022-02-05,36248.515625,36550.441406,35843.781250,36195.832031,36195.832031,17165326511
2022-02-06,36195.792969,37100.550781,36024.414063,37026.605469,37026.605469,14092260820
2022-02-07,37021.671875,38824.988281,36446.972656,38316.410156,38316.410156,25032982080
2022-02-08,38328.968750,39677.515625,37478.902344,38630.597656,38630.597656,28964685523
2022-02-09,38611.558594,39157.175781,37834.035156,38821.855469,38821.855469,20353471281
2022-02-10,38829.734375,39776.269531,38122.812500,38176.585938,38176.585938,28166430696
2022-02-11,38181.859375,38463.324219,37102.066406,37360.546875,37360.546875,23746750515
2022-02-12,37364.386719,37877.898438,36873.539063,37218.812500,37218.812500,15992873039
2022-02-13,37211.851563,37614.031250,36960.207031,37131.113281,37131.113281,12971654871
2022-02-14,37095.812500,37829.574219,36708.257813,37667.152344,37667.152344,18421695035
2022-02-15,37666.750000,39328.816406,37562.964844,39255.910156,39255.910156,20010215311
2022-02-16,39258.617188,39258.617188,38221.988281,38654.785156,38654.785156,17403191304
2022-02-17,38632.988281,38791.558594,35424.960938,35673.937500,35673.937500,23097378235
2022-02-18,35686.363281,35996.578125,35031.054688,35356.636719,35356.636719,20588144724
2022-02-19,35352.265625,35699.246094,35075.843750,35437.171875,35437.171875,12132567474
2022-02-20,35433.589844,35435.171875,33679.304688,33958.773438,33958.773438,16206118505
2022-02-21,33951.554688,34667.105469,32661.080078,32783.445313,32783.445313,25890903370
